conversation_id,user_rating,observer_rating,self_rating,language
conv_177,9.0,8.5,9.0,Spanish
conv_178,9.0,8.5,8.5,Spanish
conv_179,9.0,8.5,9.0,English
conv_180,9.0,8.5,9.0,Spanish
conv_181,9.0,9.0,9.0,English
conv_182,9.0,8.5,8.5,English
conv_183,9.0,8.5,8.5,Arabic
conv_184,8.5,8.5,8.5,German
conv_185,8.5,8.5,8.5,Dutch
conv_186,9.0,9.0,9.0,English
conv_187,9.0,9.0,9.0,French
conv_188,9.0,9.0,9.0,French
conv_189,9.0,8.5,8.5,Spanish
conv_190,9.0,8.5,8.5,Dutch
conv_191,9.0,9.0,9.0,Spanish
conv_192,9.0,8.5,8.5,English
conv_193,9.0,8.5,8.5,Dutch
conv_194,9.0,8.5,8.5,English
conv_195,9.0,9.0,9.0,Spanish
conv_196,9.0,8.5,8.5,Spanish
conv_197,8.5,8.5,8.5,Dutch
conv_198,9.0,8.5,8.5,English
conv_199,9.0,9.0,8.5,French
conv_200,9.0,8.5,9.0,Swahili
conv_201,9.0,8.5,9.0,Swahili
conv_202,9.0,8.5,9.0,Portuguese
conv_203,9.0,9.0,9.0,Spanish
conv_204,9.0,9.0,8.5,French
conv_205,9.0,8.5,9.0,German
conv_206,9.0,9.0,9.0,English
conv_207,9.0,8.5,9.0,Spanish
conv_208,9.0,9.0,9.0,English
conv_209,9.0,8.5,8.5,Dutch
conv_210,9.0,8.5,8.5,English
conv_211,9.0,9.0,9.0,English
conv_212,9.0,9.0,9.0,Portuguese
conv_213,9.0,8.5,8.5,Swahili
conv_214,9.0,8.5,8.5,Spanish
conv_215,9.0,8.5,8.5,English
conv_216,9.0,9.0,9.0,English
conv_217,9.0,8.5,8.5,English
conv_218,9.0,9.0,9.0,Spanish
conv_219,8.5,8.5,8.5,German
conv_220,9.0,8.5,8.5,Spanish
conv_221,9.0,8.5,9.0,English
conv_222,9.0,9.0,9.0,French
conv_223,9.0,8.5,8.5,Spanish
conv_224,9.0,8.5,8.5,Spanish
conv_225,9.0,8.5,8.5,English
conv_226,9.0,8.5,8.5,English
conv_227,9.0,9.0,9.0,French
conv_228,9.0,8.5,9.0,French
conv_229,9.0,8.5,9.0,Spanish
conv_230,9.0,8.5,8.5,English
conv_231,9.0,9.0,9.0,Arabic
conv_232,9.0,8.5,8.5,Dutch
conv_233,9.0,8.5,8.5,Swahili
conv_234,9.0,8.5,8.5,Dutch
conv_235,9.0,8.5,8.5,English
conv_236,9.0,9.0,9.0,English
conv_237,9.0,8.5,8.5,English
conv_238,9.0,8.5,9.0,Swahili
conv_239,9.0,8.5,8.5,English
conv_240,9.0,9.0,9.0,Spanish
conv_241,9.0,8.5,9.0,French
conv_242,9.0,9.0,9.0,English
conv_243,9.0,8.5,8.5,German
conv_244,9.0,8.5,8.5,Dutch
conv_245,9.0,9.0,9.0,Spanish
conv_246,9.0,9.0,9.0,English
conv_247,9.0,8.5,8.5,English
conv_248,9.0,8.5,9.0,French
conv_249,9.0,8.5,8.5,Swahili
conv_250,9.0,8.5,8.5,English
conv_251,9.0,8.5,9.0,Spanish
conv_252,9.0,9.0,9.0,Spanish
conv_253,9.0,9.0,8.5,English
conv_254,9.0,8.5,8.5,Swahili
conv_255,9.0,8.5,8.5,English
conv_256,9.0,8.5,8.5,French
conv_257,9.0,8.5,9.0,Swahili
conv_258,9.0,8.5,8.5,English
conv_259,9.0,9.0,9.0,Arabic
conv_260,8.5,8.5,8.5,Spanish
conv_261,9.0,8.5,8.5,French
conv_262,8.5,8.5,8.5,Dutch
conv_263,9.0,8.5,8.5,Swahili
conv_264,9.0,9.0,9.0,English
conv_265,9.0,8.5,8.5,English
conv_266,9.0,8.5,8.5,English
conv_267,9.0,8.5,8.5,Arabic
conv_268,9.0,8.5,8.5,English
conv_269,9.0,8.5,8.5,Swahili
conv_270,9.0,9.0,8.5,English
conv_271,9.0,9.0,9.0,Spanish
conv_272,9.0,9.0,8.5,Dutch
conv_273,9.0,8.5,8.5,French
conv_274,9.0,9.0,8.5,French
conv_275,9.0,8.5,8.5,Dutch
conv_276,9.0,8.5,8.5,French
conv_277,9.0,8.5,8.5,French
conv_278,9.0,8.5,8.5,Dutch
conv_279,9.0,9.0,9.0,French
conv_280,9.0,9.0,9.0,Spanish
conv_281,9.0,9.0,9.0,French
conv_282,9.0,8.5,9.0,Spanish
conv_283,9.0,8.5,9.0,English
conv_284,9.0,8.5,8.5,Dutch
conv_285,9.0,9.0,9.0,Spanish
conv_286,9.0,8.5,8.5,French
conv_287,9.0,8.5,8.5,Dutch
conv_288,9.0,8.5,9.0,Portuguese
conv_289,9.0,9.0,9.0,Portuguese
conv_290,9.0,8.5,8.5,French
conv_291,9.0,8.5,8.5,English
conv_292,9.0,8.5,8.5,English
conv_293,9.0,8.5,8.5,Dutch
conv_294,9.0,9.0,9.0,Spanish
conv_295,9.0,9.0,9.0,French
conv_296,8.5,8.5,8.5,Swahili
conv_297,9.0,8.5,8.5,Swahili
conv_298,9.0,8.5,8.5,Dutch
conv_299,9.0,9.0,9.0,Spanish
conv_300,9.0,9.0,8.5,Dutch
conv_301,8.5,8.5,8.5,English
conv_302,9.0,9.0,9.0,English
conv_303,9.0,9.0,9.0,German
conv_304,9.0,9.0,9.0,English
conv_305,9.0,8.5,8.5,Swahili
conv_306,9.0,8.5,8.5,Arabic
conv_307,9.0,9.0,9.0,Spanish
conv_308,9.0,9.0,8.5,English
conv_309,9.0,8.5,9.0,Portuguese
conv_310,9.0,8.5,8.5,English
conv_311,9.0,9.0,9.0,English
conv_312,9.0,8.5,8.5,French
conv_313,9.0,8.5,8.5,French
conv_314,9.0,8.5,9.0,French
conv_315,9.0,8.5,9.0,Swahili
conv_316,9.0,8.5,8.5,English
conv_317,9.0,8.5,9.0,Spanish
conv_318,9.0,8.5,8.5,Arabic
conv_319,9.0,8.5,9.0,Portuguese
conv_320,9.0,8.5,9.0,Portuguese
conv_321,9.0,8.5,8.5,English
conv_322,9.0,8.5,8.5,Dutch
conv_323,9.0,9.0,9.0,Spanish
conv_324,9.0,9.0,9.0,French
conv_325,9.0,9.0,8.5,Dutch
conv_326,9.0,9.0,9.0,Spanish
conv_327,9.0,8.5,8.5,Portuguese
conv_328,9.0,9.0,9.0,English
conv_329,9.0,8.5,8.5,Portuguese
conv_330,9.0,8.5,8.5,Portuguese
conv_331,9.0,8.5,8.5,Portuguese
conv_332,9.0,8.5,8.5,Spanish
conv_333,9.0,8.5,8.5,Spanish
conv_334,9.0,8.5,8.5,Dutch
conv_335,9.0,9.0,9.0,Spanish
conv_336,9.0,8.5,9.0,English
conv_337,9.0,8.5,8.5,English
conv_338,9.0,9.0,9.0,Spanish
conv_339,9.0,8.5,9.0,Spanish
conv_340,9.0,8.5,9.0,French
conv_341,9.0,8.5,8.5,English
conv_342,9.0,9.0,9.0,French
conv_343,9.0,8.5,8.5,Spanish
conv_344,9.0,9.0,9.0,Spanish
conv_345,9.0,9.0,9.0,Spanish
conv_346,9.0,8.5,8.5,Dutch
conv_347,9.0,8.5,8.5,Dutch
conv_348,9.0,8.5,8.5,Dutch
conv_349,9.0,8.5,8.5,French
conv_350,9.0,8.5,9.0,English
conv_351,9.0,8.5,8.5,Dutch
conv_352,9.0,9.0,9.0,Spanish
conv_353,9.0,8.5,9.0,Swahili
conv_354,9.0,8.5,8.5,English
conv_355,9.0,8.5,8.5,English
conv_356,9.0,8.5,8.5,Dutch
conv_357,9.0,8.5,9.0,Spanish
conv_358,9.0,8.5,8.5,French
conv_359,9.0,8.5,9.0,Swahili
conv_360,9.0,8.5,8.5,Arabic
conv_361,9.0,8.5,8.5,Dutch
conv_362,9.0,8.5,8.5,Swahili
conv_363,9.0,9.0,9.0,English
conv_364,9.0,8.5,8.5,French
conv_365,9.0,9.0,9.0,English
conv_366,9.0,8.5,8.5,Swahili
conv_367,9.0,9.0,9.0,English
conv_368,9.0,8.5,9.0,English
conv_369,9.0,8.5,8.5,Swahili
conv_370,9.0,8.5,8.5,French
conv_371,9.0,9.0,9.0,Spanish
conv_372,9.0,8.5,8.5,Swahili
conv_373,9.0,9.0,9.0,German
conv_374,9.0,8.5,8.5,Dutch
conv_375,9.0,8.5,8.5,German
conv_376,9.0,9.0,9.0,Portuguese
conv_377,9.0,9.0,9.0,Dutch
conv_378,9.0,8.5,8.5,English
conv_379,8.5,8.5,8.5,German
conv_380,9.0,9.0,8.5,French
conv_381,9.0,8.5,8.5,Arabic
conv_382,9.0,8.5,9.0,Spanish
conv_383,9.0,8.5,8.5,French
conv_384,9.0,8.5,8.5,Dutch
conv_385,9.0,9.5,9.0,English
conv_386,9.0,9.0,9.0,French
conv_387,9.0,8.5,8.5,English
conv_388,9.0,8.5,8.5,French
conv_389,9.0,8.5,8.5,Portuguese
conv_390,9.0,9.5,9.0,English
conv_391,9.0,9.0,9.0,English
conv_392,9.0,8.5,8.5,Spanish
conv_393,9.0,8.5,9.0,Spanish
conv_394,9.0,8.5,8.5,Dutch
conv_395,9.0,9.0,9.0,Spanish
conv_396,9.0,9.0,9.0,Spanish
conv_397,9.0,9.0,9.0,Spanish
conv_398,9.0,9.0,9.0,Spanish
conv_399,9.0,8.5,9.0,French
conv_400,9.0,9.0,9.0,English
conv_401,9.0,8.5,8.5,English
conv_402,9.0,8.5,8.5,English
conv_403,9.0,8.5,9.0,Swahili
conv_404,9.0,8.5,8.5,English
conv_405,9.0,8.5,8.5,Dutch
conv_406,9.0,8.5,8.5,English
conv_407,9.0,9.0,9.0,English
conv_408,9.0,8.5,8.5,Dutch
conv_409,9.0,9.0,9.0,Portuguese
conv_410,9.0,8.5,9.0,Spanish
conv_411,8.5,8.5,8.5,Dutch
conv_412,9.0,8.5,9.0,German
conv_413,9.0,8.5,8.5,Spanish
conv_414,9.0,9.0,9.0,English
conv_415,9.0,8.5,8.5,Dutch
conv_416,9.0,8.5,8.5,Dutch
conv_417,9.0,9.0,9.0,Portuguese
conv_418,9.0,8.5,9.0,Swahili
conv_419,9.0,9.0,9.0,Swahili
conv_420,9.0,8.5,8.5,Dutch
conv_421,9.0,9.0,9.0,English
conv_422,9.0,9.0,9.0,French
conv_423,9.0,9.0,9.0,French
conv_424,9.0,8.5,8.5,Swahili
conv_425,9.0,9.0,8.5,English
conv_426,9.0,8.5,9.0,Portuguese
conv_427,9.0,8.5,8.5,Dutch
conv_428,9.0,9.0,9.0,English
conv_429,9.0,8.5,8.5,French
conv_430,9.0,8.5,8.5,Spanish
conv_431,9.0,8.5,8.5,English
conv_432,9.0,8.5,8.5,Swahili
conv_433,9.0,8.5,8.5,Swahili
conv_434,9.0,8.5,8.5,English
conv_435,9.0,8.5,8.5,Portuguese
conv_436,9.0,8.5,8.5,English
conv_437,9.0,8.5,9.0,Spanish
conv_438,9.0,8.5,8.5,Swahili
conv_439,9.0,9.0,9.0,Spanish
conv_440,9.0,8.5,8.5,Swahili
conv_441,9.0,8.5,8.5,Arabic
conv_442,9.0,8.5,9.0,English
conv_443,9.0,8.5,9.0,French
conv_444,9.0,9.0,9.0,English
conv_445,9.0,8.5,8.5,Dutch
conv_446,8.5,7.5,7.5,Dutch
conv_447,9.0,8.5,9.0,English
conv_448,9.0,8.5,8.5,French
conv_449,9.0,8.5,9.0,French
conv_450,9.0,8.5,8.5,Swahili
conv_451,9.0,8.5,9.0,English
conv_452,8.5,8.5,8.5,Dutch
conv_453,9.0,8.5,8.5,Dutch
conv_454,9.0,9.0,9.0,French
conv_455,9.0,9.0,9.0,Spanish
conv_456,9.0,9.0,9.0,Arabic
conv_457,9.0,8.5,9.0,German
conv_458,9.0,8.5,8.5,French
conv_459,9.0,9.0,9.0,French
conv_460,9.0,8.5,8.5,Spanish
conv_461,9.0,8.5,9.0,German
conv_462,9.0,8.5,9.0,English
conv_463,9.0,8.5,8.5,Dutch
conv_464,9.0,8.5,9.0,Spanish
conv_465,9.0,8.5,9.0,Dutch
conv_466,9.0,9.0,9.0,English
conv_467,9.0,9.0,9.0,Spanish
conv_468,9.0,8.5,8.5,Swahili
conv_469,9.0,8.5,9.0,French
conv_470,9.0,8.5,8.5,Portuguese
conv_471,9.0,8.5,9.0,Swahili
conv_472,9.0,9.0,9.0,English
conv_473,9.0,9.0,9.0,Swahili
conv_474,9.0,8.5,8.5,Dutch
conv_475,9.0,8.5,8.5,English
conv_476,9.0,9.0,9.0,Arabic
conv_477,9.0,9.0,9.0,Spanish
conv_478,9.0,9.0,9.0,English
conv_479,9.0,9.0,9.0,English
conv_480,9.0,9.0,8.5,French
conv_481,9.0,8.5,8.5,German
conv_482,9.0,9.0,9.0,English
conv_483,9.0,8.5,8.5,English
conv_484,9.0,8.5,8.5,Dutch
conv_485,9.0,8.5,9.0,Swahili
conv_486,9.0,8.5,9.0,English
conv_487,9.0,8.5,8.5,English
conv_488,9.0,9.5,9.0,English
conv_489,9.0,9.0,9.0,Dutch
conv_490,9.0,9.0,9.0,Spanish
conv_491,9.0,8.5,8.5,French
conv_492,9.0,9.0,9.0,French
conv_493,9.0,8.5,8.5,Portuguese
conv_494,9.0,9.0,9.0,Spanish
conv_495,9.0,8.5,8.5,German
conv_496,9.0,8.5,9.0,English
conv_497,9.0,9.0,9.0,Spanish
conv_498,9.0,8.5,8.5,Arabic
conv_499,9.0,9.0,9.0,French
