conversation_id,user_rating,self_rating,judge_rating,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,error_count
conv_069,9.0,8.5,8.5,30,113.97,627.93,Spanish,0.533,16
conv_070,9.0,9.0,9.0,30,113.5,678.23,English,0.533,16
conv_071,9.0,8.5,8.5,30,93.37,581.33,Swahili,0.533,16
conv_072,9.0,9.0,8.5,30,109.13,675.87,English,0.533,16
conv_073,9.0,8.5,8.5,30,113.9,718.6,French,0.533,16
conv_074,9.0,9.0,8.5,30,108.4,679.7,French,0.533,16
conv_075,9.0,8.5,8.5,30,97.8,543.13,Swahili,0.533,16
conv_076,9.0,9.0,8.5,30,106.6,566.1,Swahili,0.533,16
conv_077,9.0,8.5,9.0,30,117.3,700.5,French,0.533,16
conv_078,9.0,8.5,8.5,30,100.3,699.33,English,0.533,16
conv_079,9.0,8.5,9.0,30,112.47,739.7,English,0.533,16
conv_080,9.0,9.0,8.5,30,99.53,632.5,Portuguese,0.533,16
conv_081,9.0,9.0,8.5,30,112.67,675.43,German,0.533,16
conv_082,9.0,9.0,9.0,30,97.17,691.93,English,0.533,16
conv_083,9.0,8.5,8.5,30,90.53,623.8,Spanish,0.533,16
conv_084,9.0,8.5,8.5,30,93.3,578.3,Swahili,0.533,16
conv_085,9.0,9.0,9.0,30,106.77,625.27,Spanish,0.533,16
conv_086,9.0,9.0,8.5,30,82.27,485.8,Arabic,0.533,16
conv_087,9.0,9.0,8.5,30,88.0,547.93,Swahili,0.533,16
conv_088,9.0,8.5,8.5,30,108.53,636.17,Dutch,0.533,16
conv_089,9.0,8.5,8.5,30,106.33,721.73,German,0.533,16
conv_090,9.0,9.0,8.5,30,96.2,625.07,Portuguese,0.533,16
conv_091,9.0,9.0,8.5,30,91.33,647.63,Dutch,0.533,16
conv_092,9.0,9.0,8.5,30,102.1,673.7,German,0.533,16
conv_093,9.0,9.0,8.5,30,114.73,707.17,English,0.533,16
conv_094,9.0,8.5,8.5,30,113.7,686.27,German,0.533,16
conv_095,9.0,8.5,8.5,30,92.73,696.27,English,0.533,16
conv_096,9.0,8.5,8.5,30,100.33,556.47,Swahili,0.533,16
conv_097,9.0,8.5,8.5,30,114.57,661.17,Spanish,0.533,16
conv_098,9.0,9.0,8.5,30,104.07,696.6,English,0.533,16
conv_099,9.0,9.0,9.0,30,106.87,637.93,Spanish,0.533,16
conv_100,9.0,8.5,9.0,30,101.83,704.7,English,0.533,16
conv_101,8.5,8.5,8.5,30,87.07,638.63,Dutch,0.533,16
conv_102,9.0,8.5,8.5,30,104.73,626.77,Spanish,0.533,16
conv_103,9.0,8.5,8.5,30,102.8,563.5,Swahili,0.533,16
conv_104,9.0,8.5,9.0,30,90.5,504.33,Arabic,0.533,16
conv_105,9.0,9.0,8.5,30,107.2,618.77,Spanish,0.533,16
conv_106,9.0,8.5,8.5,30,110.5,577.57,Swahili,0.533,16
conv_107,9.0,8.5,8.5,30,114.27,673.2,German,0.533,16
conv_108,9.0,8.5,8.5,30,95.37,639.2,English,0.533,16
conv_109,9.0,8.5,8.5,30,103.13,676.6,English,0.533,16
conv_110,9.0,8.5,8.5,30,104.0,698.07,English,0.533,16
conv_111,8.5,8.5,8.5,30,100.77,670.13,French,0.533,16
conv_112,9.0,9.0,9.0,30,112.47,719.1,French,0.533,16
conv_113,9.0,9.0,9.0,30,107.97,690.87,French,0.533,16
conv_114,9.0,9.0,9.0,30,112.03,703.37,French,0.533,16
conv_115,9.0,9.0,9.0,30,97.87,672.57,Portuguese,0.533,16
conv_116,9.0,9.0,8.5,30,97.47,572.07,Swahili,0.533,16
conv_117,9.0,8.5,8.5,30,102.4,567.7,Swahili,0.533,16
conv_118,9.0,8.5,8.5,30,93.9,564.97,Swahili,0.533,16
conv_119,9.0,9.0,9.0,30,101.5,675.07,Dutch,0.533,16
conv_120,9.0,8.5,8.5,30,86.7,616.1,Dutch,0.533,16
conv_121,9.0,8.5,8.5,30,102.87,728.63,English,0.533,16
conv_122,9.0,8.5,8.5,30,108.8,664.83,Spanish,0.533,16
conv_123,9.0,9.0,8.5,30,102.37,699.03,German,0.533,16
conv_124,9.0,9.0,8.5,30,104.67,631.37,Spanish,0.533,16
conv_125,9.0,8.5,8.5,30,106.9,662.8,English,0.533,16
conv_126,9.0,9.0,9.0,30,96.67,615.7,Spanish,0.533,16
conv_127,9.0,9.0,9.0,30,108.13,714.47,English,0.533,16
conv_128,9.0,8.5,8.5,30,95.2,711.27,English,0.533,16
conv_129,9.0,8.5,8.5,30,94.97,671.47,German,0.533,16
conv_130,9.0,9.0,9.0,30,111.37,696.5,French,0.533,16
conv_131,9.0,9.0,9.0,30,98.73,619.5,Spanish,0.533,16
conv_132,8.5,8.5,8.5,30,83.4,638.97,Dutch,0.533,16
conv_133,9.0,9.0,9.0,30,102.17,665.43,Dutch,0.533,16
conv_134,9.0,9.0,8.5,30,107.03,669.77,Spanish,0.533,16
conv_135,9.0,8.5,8.5,30,99.33,698.77,English,0.533,16
conv_136,9.0,8.5,8.5,30,99.4,674.67,Dutch,0.533,16
conv_137,9.0,9.0,9.0,30,103.7,664.23,French,0.533,16
conv_138,9.0,9.0,8.5,30,132.23,675.6,French,0.533,16
conv_139,9.0,8.5,9.0,30,94.0,689.87,English,0.533,16
conv_140,9.0,8.5,9.0,30,103.2,684.83,French,0.533,16
conv_141,9.0,9.0,9.0,30,108.97,661.27,Portuguese,0.533,16
conv_142,9.0,8.5,9.0,30,106.17,686.27,French,0.533,16
conv_143,9.0,8.5,8.5,30,92.7,663.23,Portuguese,0.533,16
conv_144,9.0,8.5,8.5,30,95.9,617.57,Portuguese,0.533,16
conv_145,9.0,8.5,8.5,30,110.9,609.0,Spanish,0.533,16
conv_146,9.0,8.5,8.5,30,94.53,632.6,Portuguese,0.533,16
conv_147,9.0,9.0,8.5,30,106.3,629.03,Spanish,0.533,16
conv_148,9.0,8.5,8.5,30,97.03,700.8,English,0.533,16
conv_149,9.0,9.0,9.0,30,102.47,622.13,Spanish,0.533,16
conv_150,9.0,9.0,9.0,30,116.4,698.67,French,0.533,16
conv_151,9.0,8.5,8.5,30,116.03,685.3,German,0.533,16
conv_152,9.0,8.5,8.5,30,92.97,563.5,Swahili,0.533,16
conv_153,9.0,9.0,8.5,30,103.5,656.03,Spanish,0.533,16
conv_154,9.0,8.5,8.5,30,106.27,674.03,French,0.533,16
conv_155,9.0,8.5,8.5,30,115.17,709.73,French,0.533,16
conv_156,9.0,8.5,8.5,30,90.73,628.17,Dutch,0.533,16
conv_157,9.0,9.0,9.0,30,121.9,675.7,French,0.533,16
conv_158,9.0,9.0,9.0,30,140.13,712.27,French,0.533,16
conv_159,9.0,9.0,9.0,30,98.7,623.0,Spanish,0.533,16
conv_160,9.0,8.5,8.5,30,112.47,702.9,Dutch,0.533,16
conv_161,8.5,8.5,8.5,30,98.97,692.23,German,0.533,16
conv_162,9.0,8.5,8.5,30,109.6,733.47,English,0.533,16
conv_163,9.0,9.0,9.0,30,107.83,701.03,French,0.533,16
conv_164,9.0,9.0,9.0,30,92.43,604.97,Spanish,0.533,16
conv_165,8.5,8.5,8.5,30,111.87,678.77,German,0.533,16
conv_166,9.0,8.5,8.5,30,114.93,719.1,English,0.533,16
conv_167,9.0,9.0,9.5,30,91.23,572.2,Swahili,0.533,16
conv_168,9.0,9.0,9.0,30,116.0,684.27,German,0.533,16
conv_169,9.0,9.0,9.0,30,98.3,645.2,Portuguese,0.533,16
conv_170,9.0,8.5,8.5,30,95.93,571.7,Swahili,0.533,16
conv_171,9.0,8.5,8.5,30,85.7,640.6,Dutch,0.533,16
conv_172,9.0,9.0,8.5,30,93.17,605.77,Spanish,0.533,16
conv_173,9.0,8.5,8.5,30,115.97,619.07,Spanish,0.533,16
conv_174,9.0,8.5,8.5,30,102.4,666.57,French,0.533,16
conv_175,9.0,9.0,9.0,30,90.7,702.2,French,0.533,16
conv_176,9.0,8.5,9.0,30,104.53,664.73,Portuguese,0.533,16
conv_177,9.0,9.0,8.5,30,103.67,646.8,Spanish,0.533,16
conv_178,9.0,8.5,8.5,30,102.3,618.47,Spanish,0.533,16
conv_179,9.0,9.0,8.5,30,99.57,670.97,English,0.533,16
conv_180,9.0,9.0,8.5,30,104.97,659.77,Spanish,0.533,16
conv_181,9.0,9.0,9.0,30,109.53,707.17,English,0.533,16
conv_182,9.0,8.5,8.5,30,95.77,661.3,English,0.533,16
conv_183,9.0,8.5,8.5,30,84.6,500.0,Arabic,0.533,16
conv_184,8.5,8.5,8.5,30,114.73,688.1,German,0.533,16
conv_185,8.5,8.5,8.5,30,102.2,632.8,Dutch,0.533,16
conv_186,9.0,9.0,9.0,30,103.77,700.07,English,0.533,16
conv_187,9.0,9.0,9.0,30,107.93,659.73,French,0.533,16
conv_188,9.0,9.0,9.0,30,103.93,684.2,French,0.533,16
conv_189,9.0,8.5,8.5,30,93.8,634.53,Spanish,0.533,16
conv_190,9.0,8.5,8.5,30,85.1,625.0,Dutch,0.533,16
conv_191,9.0,9.0,9.0,30,100.83,613.4,Spanish,0.533,16
conv_192,9.0,8.5,8.5,30,110.27,680.43,English,0.533,16
conv_193,9.0,8.5,8.5,30,107.23,677.57,Dutch,0.533,16
conv_194,9.0,8.5,8.5,30,109.4,681.33,English,0.533,16
conv_195,9.0,9.0,9.0,30,111.57,670.3,Spanish,0.533,16
conv_196,9.0,8.5,8.5,30,103.9,643.13,Spanish,0.533,16
conv_197,8.5,8.5,8.5,30,96.83,644.0,Dutch,0.533,16
conv_198,9.0,8.5,8.5,30,100.9,670.9,English,0.533,16
conv_199,9.0,8.5,9.0,30,124.33,699.73,French,0.533,16
conv_200,9.0,9.0,8.5,30,103.67,555.47,Swahili,0.533,16
conv_201,9.0,9.0,8.5,30,112.0,547.67,Swahili,0.533,16
conv_202,9.0,9.0,8.5,30,87.53,621.23,Portuguese,0.533,16
conv_203,9.0,9.0,9.0,30,101.77,637.7,Spanish,0.533,16
conv_204,9.0,8.5,9.0,30,109.9,683.9,French,0.533,16
conv_205,9.0,9.0,8.5,30,102.9,651.2,German,0.533,16
conv_206,9.0,9.0,9.0,30,91.93,655.8,English,0.533,16
conv_207,9.0,9.0,8.5,30,110.33,625.17,Spanish,0.533,16
conv_208,9.0,9.0,9.0,30,107.9,684.23,English,0.533,16
conv_209,9.0,8.5,8.5,30,100.37,622.7,Dutch,0.533,16
conv_210,9.0,8.5,8.5,30,97.63,682.83,English,0.533,16
conv_211,9.0,9.0,9.0,30,84.0,665.13,English,0.533,16
conv_212,9.0,9.0,9.0,30,91.27,623.4,Portuguese,0.533,16
conv_213,9.0,8.5,8.5,30,95.13,562.1,Swahili,0.533,16
conv_214,9.0,8.5,8.5,30,91.83,612.0,Spanish,0.533,16
conv_215,9.0,8.5,8.5,30,100.97,722.43,English,0.533,16
conv_216,9.0,9.0,9.0,30,105.63,718.7,English,0.533,16
conv_217,9.0,8.5,8.5,30,102.43,707.67,English,0.533,16
conv_218,9.0,9.0,9.0,30,90.83,633.9,Spanish,0.533,16
conv_219,8.5,8.5,8.5,30,116.2,695.6,German,0.533,16
conv_220,9.0,8.5,8.5,30,111.73,622.13,Spanish,0.533,16
conv_221,9.0,9.0,8.5,30,94.27,654.2,English,0.533,16
conv_222,9.0,9.0,9.0,30,111.53,731.23,French,0.533,16
conv_223,9.0,8.5,8.5,30,113.57,626.73,Spanish,0.533,16
conv_224,9.0,8.5,8.5,30,105.53,615.83,Spanish,0.533,16
conv_225,9.0,8.5,8.5,30,102.3,690.63,English,0.533,16
conv_226,9.0,8.5,8.5,30,96.27,678.9,English,0.533,16
conv_227,9.0,9.0,9.0,30,109.07,694.77,French,0.533,16
conv_228,9.0,9.0,8.5,30,98.8,657.8,French,0.533,16
conv_229,9.0,9.0,8.5,30,109.4,639.87,Spanish,0.533,16
conv_230,9.0,8.5,8.5,30,106.17,705.97,English,0.533,16
conv_231,9.0,9.0,9.0,30,85.83,470.43,Arabic,0.533,16
conv_232,9.0,8.5,8.5,30,93.67,628.87,Dutch,0.533,16
conv_233,9.0,8.5,8.5,30,91.47,582.1,Swahili,0.533,16
conv_234,9.0,8.5,8.5,30,93.8,658.03,Dutch,0.533,16
conv_235,9.0,8.5,8.5,30,73.43,631.3,English,0.533,16
conv_236,9.0,9.0,9.0,30,111.17,709.6,English,0.533,16
conv_237,9.0,8.5,8.5,30,96.23,694.67,English,0.533,16
conv_238,9.0,9.0,8.5,30,96.9,579.97,Swahili,0.533,16
conv_239,9.0,8.5,8.5,30,87.67,656.6,English,0.533,16
conv_240,9.0,9.0,9.0,30,102.03,633.53,Spanish,0.533,16
conv_241,9.0,9.0,8.5,30,103.4,687.27,French,0.533,16
conv_242,9.0,9.0,9.0,30,101.4,741.53,English,0.533,16
conv_243,9.0,8.5,8.5,30,115.4,704.23,German,0.533,16
conv_244,9.0,8.5,8.5,30,103.07,644.97,Dutch,0.533,16
conv_245,9.0,9.0,9.0,30,101.77,623.5,Spanish,0.533,16
conv_246,9.0,9.0,9.0,30,103.1,752.0,English,0.533,16
conv_247,9.0,8.5,8.5,30,120.33,740.97,English,0.533,16
conv_248,9.0,9.0,8.5,30,115.13,722.83,French,0.533,16
conv_249,9.0,8.5,8.5,30,101.27,556.23,Swahili,0.533,16
conv_250,9.0,8.5,8.5,30,102.77,700.67,English,0.533,16
conv_251,9.0,9.0,8.5,30,97.9,631.73,Spanish,0.533,16
conv_252,9.0,9.0,9.0,30,118.47,688.43,Spanish,0.533,16
conv_253,9.0,8.5,9.0,30,109.67,700.83,English,0.533,16
conv_254,9.0,8.5,8.5,30,100.93,558.93,Swahili,0.533,16
conv_255,9.0,8.5,8.5,30,111.97,726.03,English,0.533,16
conv_256,9.0,8.5,8.5,30,109.03,672.4,French,0.533,16
conv_257,9.0,9.0,8.5,30,79.9,556.13,Swahili,0.533,16
conv_258,9.0,8.5,8.5,30,109.07,686.07,English,0.533,16
conv_259,9.0,9.0,9.0,30,89.77,520.47,Arabic,0.533,16
conv_260,8.5,8.5,8.5,30,110.37,645.43,Spanish,0.533,16
conv_261,9.0,8.5,8.5,30,99.97,685.03,French,0.533,16
conv_262,8.5,8.5,8.5,30,86.23,646.37,Dutch,0.533,16
conv_263,9.0,8.5,8.5,30,93.4,565.8,Swahili,0.533,16
conv_264,9.0,9.0,9.0,30,96.93,694.6,English,0.533,16
conv_265,9.0,8.5,8.5,30,86.27,652.73,English,0.533,16
conv_266,9.0,8.5,8.5,30,106.4,683.47,English,0.533,16
conv_267,9.0,8.5,8.5,30,85.17,462.73,Arabic,0.533,16
conv_268,9.0,8.5,8.5,30,96.43,709.4,English,0.533,16
conv_269,9.0,8.5,8.5,30,99.53,583.3,Swahili,0.533,16
conv_270,9.0,8.5,9.0,30,113.83,712.67,English,0.533,16
conv_271,9.0,9.0,9.0,30,93.53,650.73,Spanish,0.533,16
conv_272,9.0,8.5,9.0,30,93.13,678.53,Dutch,0.533,16
conv_273,9.0,8.5,8.5,30,107.4,694.93,French,0.533,16
conv_274,9.0,8.5,9.0,30,112.07,723.97,French,0.533,16
conv_275,9.0,8.5,8.5,30,98.53,669.47,Dutch,0.533,16
conv_276,9.0,8.5,8.5,30,105.47,701.47,French,0.533,16
conv_277,9.0,8.5,8.5,30,105.07,708.83,French,0.533,16
conv_278,9.0,8.5,8.5,30,91.4,651.6,Dutch,0.533,16
conv_279,9.0,9.0,9.0,30,109.67,672.0,French,0.533,16
conv_280,9.0,9.0,9.0,30,96.6,635.03,Spanish,0.533,16
conv_281,9.0,9.0,9.0,30,120.9,694.5,French,0.533,16
conv_282,9.0,9.0,8.5,30,91.27,639.63,Spanish,0.533,16
conv_283,9.0,9.0,8.5,30,104.9,673.87,English,0.533,16
conv_284,9.0,8.5,8.5,30,101.73,655.97,Dutch,0.533,16
conv_285,9.0,9.0,9.0,30,105.37,594.33,Spanish,0.533,16
conv_286,9.0,8.5,8.5,30,100.4,687.67,French,0.533,16
conv_287,9.0,8.5,8.5,30,102.8,678.37,Dutch,0.533,16
conv_288,9.0,9.0,8.5,30,100.23,651.53,Portuguese,0.533,16
conv_289,9.0,9.0,9.0,30,94.33,664.13,Portuguese,0.533,16
conv_290,9.0,8.5,8.5,30,102.27,677.47,French,0.533,16
conv_291,9.0,8.5,8.5,30,98.63,687.43,English,0.533,16
conv_292,9.0,8.5,8.5,30,105.03,706.27,English,0.533,16
conv_293,9.0,8.5,8.5,30,94.9,671.5,Dutch,0.533,16
conv_294,9.0,9.0,9.0,30,91.73,609.9,Spanish,0.533,16
conv_295,9.0,9.0,9.0,30,102.73,679.33,French,0.533,16
conv_296,8.5,8.5,8.5,30,97.63,545.53,Swahili,0.533,16
conv_297,9.0,8.5,8.5,30,95.77,593.13,Swahili,0.533,16
conv_298,9.0,8.5,8.5,30,115.5,712.77,Dutch,0.533,16
conv_299,9.0,9.0,9.0,30,101.33,598.33,Spanish,0.533,16
conv_300,9.0,8.5,9.0,30,96.93,661.17,Dutch,0.533,16
conv_301,8.5,8.5,8.5,30,110.6,698.3,English,0.533,16
conv_302,9.0,9.0,9.0,30,108.7,680.43,English,0.533,16
conv_303,9.0,9.0,9.0,30,109.43,694.23,German,0.533,16
conv_304,9.0,9.0,9.0,30,115.0,711.83,English,0.533,16
conv_305,9.0,8.5,8.5,30,110.47,571.87,Swahili,0.533,16
conv_306,9.0,8.5,8.5,30,79.47,470.57,Arabic,0.533,16
conv_307,9.0,9.0,9.0,30,97.27,645.4,Spanish,0.533,16
conv_308,9.0,8.5,9.0,30,106.03,705.03,English,0.533,16
conv_309,9.0,9.0,8.5,30,99.4,649.67,Portuguese,0.533,16
conv_310,9.0,8.5,8.5,30,92.03,669.33,English,0.533,16
conv_311,9.0,9.0,9.0,30,108.87,721.7,English,0.533,16
conv_312,9.0,8.5,8.5,30,108.77,668.93,French,0.533,16
conv_313,9.0,8.5,8.5,30,108.3,657.07,French,0.533,16
conv_314,9.0,9.0,8.5,30,110.13,698.07,French,0.533,16
conv_315,9.0,9.0,8.5,30,90.67,571.53,Swahili,0.533,16
conv_316,9.0,8.5,8.5,30,107.4,686.8,English,0.533,16
conv_317,9.0,9.0,8.5,30,91.97,622.7,Spanish,0.533,16
conv_318,9.0,8.5,8.5,30,81.73,479.03,Arabic,0.533,16
conv_319,9.0,9.0,8.5,30,100.67,646.03,Portuguese,0.533,16
conv_320,9.0,9.0,8.5,30,111.63,676.63,Portuguese,0.533,16
conv_321,9.0,8.5,8.5,30,99.2,719.27,English,0.533,16
conv_322,9.0,8.5,8.5,30,92.33,675.7,Dutch,0.533,16
conv_323,9.0,9.0,9.0,30,105.6,630.23,Spanish,0.533,16
conv_324,9.0,9.0,9.0,30,97.37,686.7,French,0.533,16
conv_325,9.0,8.5,9.0,30,94.67,668.63,Dutch,0.533,16
conv_326,9.0,9.0,9.0,30,101.23,624.4,Spanish,0.533,16
conv_327,9.0,8.5,8.5,30,91.97,623.33,Portuguese,0.533,16
conv_328,9.0,9.0,9.0,30,109.07,727.33,English,0.533,16
conv_329,9.0,8.5,8.5,30,92.33,635.2,Portuguese,0.533,16
conv_330,9.0,8.5,8.5,30,104.5,654.1,Portuguese,0.533,16
conv_331,9.0,8.5,8.5,30,104.37,648.57,Portuguese,0.533,16
conv_332,9.0,8.5,8.5,30,101.5,619.43,Spanish,0.533,16
conv_333,9.0,8.5,8.5,30,102.97,634.93,Spanish,0.533,16
conv_334,9.0,8.5,8.5,30,93.93,661.3,Dutch,0.533,16
conv_335,9.0,9.0,9.0,30,98.47,625.57,Spanish,0.533,16
conv_336,9.0,9.0,8.5,30,102.5,707.97,English,0.533,16
conv_337,9.0,8.5,8.5,30,91.23,649.93,English,0.533,16
conv_338,9.0,9.0,9.0,30,106.73,622.13,Spanish,0.533,16
conv_339,9.0,9.0,8.5,30,114.93,625.1,Spanish,0.533,16
conv_340,9.0,9.0,8.5,30,106.23,674.2,French,0.533,16
conv_341,9.0,8.5,8.5,30,99.9,754.17,English,0.533,16
conv_342,9.0,9.0,9.0,30,109.73,686.83,French,0.533,16
conv_343,9.0,8.5,8.5,30,99.13,621.67,Spanish,0.533,16
conv_344,9.0,9.0,9.0,30,101.63,623.53,Spanish,0.533,16
conv_345,9.0,9.0,9.0,30,104.17,628.0,Spanish,0.533,16
conv_346,9.0,8.5,8.5,30,98.63,670.3,Dutch,0.533,16
conv_347,9.0,8.5,8.5,30,93.8,647.2,Dutch,0.533,16
conv_348,9.0,8.5,8.5,30,101.07,684.4,Dutch,0.533,16
conv_349,9.0,8.5,8.5,30,105.93,676.73,French,0.533,16
conv_350,9.0,9.0,8.5,30,105.5,729.0,English,0.533,16
conv_351,9.0,8.5,8.5,30,103.33,672.77,Dutch,0.533,16
conv_352,9.0,9.0,9.0,30,114.27,654.47,Spanish,0.533,16
conv_353,9.0,9.0,8.5,30,115.93,577.13,Swahili,0.533,16
conv_354,9.0,8.5,8.5,30,103.5,657.7,English,0.533,16
conv_355,9.0,8.5,8.5,30,91.37,628.87,English,0.533,16
conv_356,9.0,8.5,8.5,30,103.4,685.83,Dutch,0.533,16
conv_357,9.0,9.0,8.5,30,97.47,629.2,Spanish,0.533,16
conv_358,9.0,8.5,8.5,30,111.83,686.7,French,0.533,16
conv_359,9.0,9.0,8.5,30,113.83,581.4,Swahili,0.533,16
conv_360,9.0,8.5,8.5,30,101.33,482.73,Arabic,0.533,16
conv_361,9.0,8.5,8.5,30,85.9,619.23,Dutch,0.533,16
conv_362,9.0,8.5,8.5,30,94.23,585.5,Swahili,0.533,16
conv_363,9.0,9.0,9.0,30,91.97,688.4,English,0.533,16
conv_364,9.0,8.5,8.5,30,108.9,684.37,French,0.533,16
conv_365,9.0,9.0,9.0,30,87.4,673.67,English,0.533,16
conv_366,9.0,8.5,8.5,30,113.13,578.43,Swahili,0.533,16
conv_367,9.0,9.0,9.0,30,88.73,663.8,English,0.533,16
conv_368,9.0,9.0,8.5,30,101.33,671.93,English,0.533,16
conv_369,9.0,8.5,8.5,30,94.63,573.47,Swahili,0.533,16
conv_370,9.0,8.5,8.5,30,123.5,696.5,French,0.533,16
conv_371,9.0,9.0,9.0,30,111.27,649.07,Spanish,0.533,16
conv_372,9.0,8.5,8.5,30,103.8,572.87,Swahili,0.533,16
conv_373,9.0,9.0,9.0,30,118.4,702.17,German,0.533,16
conv_374,9.0,8.5,8.5,30,88.2,642.83,Dutch,0.533,16
conv_375,9.0,8.5,8.5,30,104.67,668.8,German,0.533,16
conv_376,9.0,9.0,9.0,30,103.27,658.27,Portuguese,0.533,16
conv_377,9.0,9.0,9.0,30,109.63,692.83,Dutch,0.533,16
conv_378,9.0,8.5,8.5,30,105.03,713.4,English,0.533,16
