"conversation_id","helpfulness","clarity","accuracy","helpfulness_reasoning","clarity_reasoning","accuracy_reasoning","total_turns","avg_user_length","avg_bot_length","language","sensitive_score","sensitive_count"
"conv_052",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and evidence",60,103.26666666666667,693.1,"English",0.0,0
"conv_053",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,111.1,624.9666666666667,"English",0.0,0
"conv_054",8.0,8.0,9.0,"8 The chatbot provides helpful and actionable","8 Reasoning: - The chatbot","9 The chatbot provided accurate and evidence",60,105.56666666666666,656.3,"English",0.0,0
"conv_055",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,109.66666666666667,655.9,"English",0.0,0
"conv_056",8.0,8.0,8.0,"8 Reasoning: The chatbot provides","8 Reasoning: - The chatbot","8 Reasoning: - La información proporcion",60,100.46666666666667,601.2,"English",0.0,0
"conv_057",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,106.73333333333333,686.7,"English",0.0,0
"conv_058",9.0,8.0,9.0,"9 The chatbot provides helpful and actionable","8 Reasoning: - The chatbot","9 Reasoning: - O chatbot",60,108.8,635.3333333333334,"English",0.0,0
"conv_059",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 The chatbot provided accurate and helpful",60,101.4,635.9666666666667,"English",0.0,0
"conv_060",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 Reasoning: * The chat","9 The chatbot's responses are generally",60,100.3,646.1,"English",0.0,0
"conv_061",10.0,9.0,10.0,"10 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","10 The chatbot's responses are accurate",60,90.03333333333333,710.2666666666667,"English",0.0,0
"conv_062",4.0,8.0,8.0,"4 Reasoning: - The chatbot","8 Reasoning: - The chatbot","8 The chatbot's responses are generally",60,109.63333333333334,625.7666666666667,"English",0.0,0
"conv_063",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,89.33333333333333,692.0,"English",0.0,0
"conv_064",9.0,8.0,8.0,"9 The chatbot provides helpful and actionable","8 The chatbot's responses are generally","8 Le chatbot fournit des informations",60,98.5,681.8,"English",0.0,0
"conv_065",9.0,9.0,9.0,"9 The chatbot provided helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,91.4,575.0,"English",0.0,0
"conv_066",8.0,9.0,9.0,"8 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,76.03333333333333,465.56666666666666,"English",0.0,0
"conv_067",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and helpful",60,110.83333333333333,571.7666666666667,"English",0.0,0
"conv_068",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,116.8,704.7,"English",0.0,0
"conv_069",8.0,8.0,8.0,"8 The chatbot provides helpful and relevant","8 The chatbot's responses are generally","8 The chatbot generally provides accurate and",60,113.96666666666667,627.9333333333333,"English",0.0,0
"conv_070",10.0,9.0,10.0,"10 The chatbot's responses are extremely","9 The chatbot's responses are clear","10 Reasoning: The chatbot consistently",60,113.5,678.2333333333333,"English",0.0,0
"conv_071",8.0,9.0,9.0,"8 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 Explanation: The chatbot provided accurate",60,93.36666666666666,581.3333333333334,"English",0.0,0
"conv_072",10.0,9.0,9.0,"10 The chatbot's responses are consistently","9 Reasoning: The chatbot's","9 The chatbot's responses are generally",60,109.13333333333334,675.8666666666667,"English",0.0,0
"conv_073",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,113.9,718.6,"English",0.0,0
"conv_074",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,108.4,679.7,"English",0.0,0
"conv_075",9.0,9.0,9.0,"9 The chatbot's responses are generally","9 The chatbot's responses are clear","9 Explanation: The chatbot provides accurate",60,97.8,543.1333333333333,"English",0.0,0
"conv_076",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,106.6,566.1,"English",0.0,0
"conv_077",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,117.3,700.5,"English",0.0,0
"conv_078",10.0,9.0,9.0,"10 The chatbot provides extremely helpful and","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,100.3,699.3333333333334,"English",0.0,0
"conv_079",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,112.46666666666667,739.7,"English",0.0,0
"conv_080",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 Justification: - O chatbot",60,99.53333333333333,632.5,"English",0.0,0
"conv_081",9.0,8.0,9.0,"9 The chatbot provides helpful and actionable","8 The chatbot's responses are generally","9 The chatbot provides accurate and helpful",60,112.66666666666667,675.4333333333333,"English",0.0,0
"conv_082",9.0,9.0,10.0,"9 The chatbot provides helpful, actionable","9 Reasoning: - The chatbot","10 The chatbot's responses are accurate",60,97.16666666666667,691.9333333333333,"English",0.0,0
"conv_083",8.0,9.0,9.0,"8 The chatbot provides helpful and relevant","9 The chatbot's responses are clear","9 Reasoning: * The chat",60,90.53333333333333,623.8,"English",0.0,0
"conv_084",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 Explanation: The chatbot provides accurate",60,93.3,578.3,"English",0.0,0
"conv_085",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 El chatbot proporciona información precisa",60,106.76666666666667,625.2666666666667,"English",0.0,0
"conv_086",9.0,9.0,9.0,"9 The chatbot's responses are generally","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,82.26666666666667,485.8,"English",0.0,0
"conv_087",9.0,9.0,9.0,"9 The chatbot's responses are generally","9 The chatbot's responses are clear","9 The chatbot provided accurate and evidence",60,88.0,547.9333333333333,"English",0.0,0
"conv_088",9.0,9.0,9.0,"9 Reasoning: - The chatbot","9 Reasoning: - The chatbot","9 De chatbot geeft over het",60,108.53333333333333,636.1666666666666,"English",0.0,0
"conv_089",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,106.33333333333333,721.7333333333333,"English",0.0,0
"conv_090",9.0,9.0,8.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","8 The chatbot provides accurate and evidence",60,96.2,625.0666666666667,"English",0.0,0
"conv_091",8.0,9.0,9.0,"8 Reasoning: The chatbot provides","9 Reasoning: - The chatbot","9 De chatbot geeft accurate en",60,91.33333333333333,647.6333333333333,"English",0.0,0
"conv_092",8.0,8.0,9.0,"8 The chatbot provides helpful and actionable","8 Reasoning: The chatbot's","9 The chatbot provides accurate and evidence",60,102.1,673.7,"English",0.0,0
"conv_093",9.0,9.0,10.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","10 The chatbot's responses are accurate",60,114.73333333333333,707.1666666666666,"English",0.0,0
"conv_094",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 Die Antworten des Chatbots sind größ",60,113.7,686.2666666666667,"English",0.0,0
"conv_095",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,92.73333333333333,696.2666666666667,"English",0.0,0
"conv_096",9.0,9.0,9.0,"9 The chatbot provided helpful and actionable","9 The chatbot's responses are clear","9 Explanation: The chatbot provides accurate",60,100.33333333333333,556.4666666666667,"English",0.0,0
"conv_097",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 The chatbot provided accurate and evidence",60,114.56666666666666,661.1666666666666,"English",0.0,0
"conv_098",10.0,9.0,10.0,"10 The chatbot provides extremely helpful and","9 The chatbot's responses are clear","10 The chatbot's responses are accurate",60,104.06666666666666,696.6,"English",0.0,0
"conv_099",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,106.86666666666666,637.9333333333333,"English",0.0,0
"conv_100",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 Reasoning: - The chatbot",60,101.83333333333333,704.7,"English",0.0,0
"conv_101",8.0,8.0,9.0,"8 The chatbot provides helpful and actionable","8 Reasoning: - The chatbot","9 De chatbot geeft over het",60,87.06666666666666,638.6333333333333,"English",0.0,0
"conv_102",8.0,8.0,8.0,"8 The chatbot provides helpful and actionable","8 The chatbot's responses are generally","8 The chatbot provides accurate and evidence",60,104.73333333333333,626.7666666666667,"English",0.0,0
"conv_103",8.0,8.0,8.0,"8 Uchambuzi: Chat","8 The chatbot's responses are generally","8 Uchambuzi: Chat",60,102.8,563.5,"English",0.0,0
"conv_104",8.0,9.0,8.0,"8 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","8 The chatbot provides generally accurate and",60,90.5,504.3333333333333,"English",0.0,0
"conv_105",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 Reasoning: The chatbot provides",60,107.2,618.7666666666667,"English",0.0,0
"conv_106",8.0,9.0,9.0,"8 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 The chatbot provided accurate and helpful",60,110.5,577.5666666666667,"English",0.0,0
"conv_107",8.0,9.0,9.0,"8 The chatbot provides helpful and relevant","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,114.26666666666667,673.2,"English",0.0,0
"conv_108",10.0,9.0,9.0,"10 The chatbot provides extremely helpful and","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,95.36666666666666,639.2,"English",0.0,0
"conv_109",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,103.13333333333334,676.6,"English",0.0,0
"conv_110",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 Reasoning: - The chatbot","9 The chatbot's responses are generally",60,104.0,698.0666666666667,"English",0.0,0
"conv_111",8.0,8.0,8.0,"8 The chatbot provides helpful and relevant","8 The chatbot's responses are generally","8 The chatbot provides accurate and evidence",60,100.76666666666667,670.1333333333333,"English",0.0,0
"conv_112",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and empath",60,112.46666666666667,719.1,"English",0.0,0
"conv_113",9.0,9.0,9.0,"9 The chatbot's responses are consistently","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,107.96666666666667,690.8666666666667,"English",0.0,0
"conv_114",9.0,9.0,9.0,"9 Le chatbot fournit des informations","9 The chatbot's responses are generally","9 Le chatbot fournit des informations",60,112.03333333333333,703.3666666666667,"English",0.0,0
"conv_115",9.0,9.0,9.0,"9 Reasoning: - O chatbot","9 Reasoning: - The chatbot","9 The chatbot provided accurate and evidence",60,97.86666666666666,672.5666666666667,"English",0.0,0
"conv_116",9.0,9.0,9.0,"9 The chatbot provided helpful and actionable","9 Reasoning: - The chatbot","9 Reasoning: * The chatbot",60,97.46666666666667,572.0666666666667,"English",0.0,0
"conv_117",9.0,9.0,9.0,"9 The chatbot provided helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and helpful",60,102.4,567.7,"English",0.0,0
"conv_118",8.0,8.0,8.0,"8 The chatbot provides helpful and actionable","8 Reasoning: - The chatbot","8 Explanation: The chatbot provides accurate",60,93.9,564.9666666666667,"English",0.0,0
"conv_119",9.0,9.0,9.0,"9 Reasoning: The chatbot provides","9 Reasoning: * The chatbot","9 The chatbot provides accurate and evidence",60,101.5,675.0666666666667,"English",0.0,0
"conv_120",9.0,9.0,9.0,"9 Reasoning: The chatbot provides","9 Reasoning: - The chatbot","9 Reasoning: The chatbot provides",60,86.7,616.1,"English",0.0,0
"conv_121",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and supportive",60,102.86666666666666,728.6333333333333,"English",0.0,0
"conv_122",9.0,8.0,8.0,"9 The chatbot provides helpful and actionable","8 The chatbot's responses are generally","8 Reasoning: * The chat",60,108.8,664.8333333333334,"English",0.0,0
"conv_123",8.0,8.0,9.0,"8 The chatbot provides helpful and actionable","8 The chatbot's responses are generally","9 The chatbot provides accurate and evidence",60,102.36666666666666,699.0333333333333,"English",0.0,0
"conv_124",8.0,9.0,8.0,"8 The chatbot provides helpful and relevant","9 The chatbot's responses are clear","8 Reasoning: - The chatbot",60,104.66666666666667,631.3666666666667,"English",0.0,0
"conv_125",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,106.9,662.8,"English",0.0,0
"conv_126",9.0,9.0,9.0,"9 The chatbot's responses are consistently","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,96.66666666666667,615.7,"English",0.0,0
"conv_127",10.0,9.0,9.0,"10 The chatbot provides extremely helpful and","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,108.13333333333334,714.4666666666667,"English",0.0,0
"conv_128",10.0,9.0,9.0,"10 The chatbot provides extremely helpful and","9 The chatbot's responses are clear","9 The chatbot provides accurate, supportive",60,95.2,711.2666666666667,"English",0.0,0
"conv_129",8.0,8.0,9.0,"8 The chatbot provides helpful and actionable","8 The chatbot's responses are generally","9 Die Antworten des Chatbots sind größ",60,94.96666666666667,671.4666666666667,"English",0.0,0
"conv_130",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,111.36666666666666,696.5,"English",0.0,0
"conv_131",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 El chatbot proporciona información precisa",60,98.73333333333333,619.5,"English",0.0,0
"conv_132",8.0,8.0,8.0,"8 The chatbot provides helpful and actionable","8 Reasoning: - The chatbot","8 Reasoning: - The chatbot",60,83.4,638.9666666666667,"English",0.0,0
"conv_133",9.0,9.0,9.0,"9 De chatbot biedt nutt","9 Reasoning: - The chatbot","9 De chatbot geeft over het",60,102.16666666666667,665.4333333333333,"English",0.0,0
"conv_134",9.0,9.0,9.0,"9 The chatbot's responses are generally","9 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,107.03333333333333,669.7666666666667,"English",0.0,0
"conv_135",10.0,9.0,9.0,"10 The chatbot provides extremely helpful and","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,99.33333333333333,698.7666666666667,"English",0.0,0
"conv_136",9.0,9.0,9.0,"9 De chatbot biedt nutt","9 Reasoning: - The chatbot","9 De chatbot geeft over het",60,99.4,674.6666666666666,"English",0.0,0
"conv_137",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,103.7,664.2333333333333,"English",0.0,0
"conv_138",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,132.23333333333332,675.6,"English",0.0,0
"conv_139",10.0,10.0,10.0,"10 The chatbot provides helpful, actionable","10 The chatbot's responses are clear","10 The chatbot's responses are accurate",60,94.0,689.8666666666667,"English",0.0,0
"conv_140",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 Le chatbot fournit des informations",60,103.2,684.8333333333334,"English",0.0,0
"conv_141",9.0,9.0,9.0,"9 The chatbot's responses are highly","9 Reasoning: - The chatbot","9 The chatbot's responses are generally",60,108.96666666666667,661.2666666666667,"English",0.0,0
"conv_142",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,106.16666666666667,686.2666666666667,"English",0.0,0
"conv_143",9.0,8.0,9.0,"9 The chatbot provides helpful and actionable","8 The chatbot's responses are generally","9 The chatbot provided accurate and evidence",60,92.7,663.2333333333333,"English",0.0,0
"conv_144",8.0,8.0,9.0,"8 Reasoning: - The chatbot","8 Reasoning: - The chatbot","9 The chatbot provided accurate and evidence",60,95.9,617.5666666666667,"English",0.0,0
"conv_145",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,110.9,609.0,"English",0.0,0
"conv_146",8.0,8.0,8.0,"8 Reasoning: - The chatbot","8 Reasoning: - The chatbot","8 The chatbot provided accurate and evidence",60,94.53333333333333,632.6,"English",0.0,0
"conv_147",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 Reasoning: - The chatbot","9 Reasoning: * The chat",60,106.3,629.0333333333333,"English",0.0,0
"conv_148",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,97.03333333333333,700.8,"English",0.0,0
"conv_149",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,102.46666666666667,622.1333333333333,"English",0.0,0
"conv_150",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,116.4,698.6666666666666,"English",0.0,0
"conv_151",8.0,8.0,8.0,"8 The chatbot provides helpful and relevant","8 The chatbot's responses are generally","8 The chatbot provides accurate and helpful",60,116.03333333333333,685.3,"English",0.0,0
"conv_152",9.0,8.0,9.0,"9 The chatbot provided helpful and actionable","8 Reasoning: - The chatbot","9 The chatbot provided accurate and evidence",60,92.96666666666667,563.5,"English",0.0,0
"conv_153",9.0,9.0,9.0,"9 Reasoning: * The chat","9 The chatbot's responses are clear","9 El chatbot proporciona información precisa",60,103.5,656.0333333333333,"English",0.0,0
