conversation_id,medical_accuracy,empathy,cultural_sensitivity,conversation_flow,safety_ethics,prep_specific,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,unique_languages
conv_033,3.0,5.0,4.5,4.5,4.5,3.0,30,107.73333333333333,153.3,French,0.0,1
conv_034,3.0,4.0,5.0,3.0,3.0,3.0,30,94.63333333333334,129.26666666666668,Dutch,0.0,1
conv_035,4.5,6.5,7.5,5.5,5.0,4.0,30,108.16666666666667,175.1,English,0.0,1
conv_036,3.0,7.5,8.5,6.5,5.5,4.0,30,108.6,163.16666666666666,German,0.0,1
conv_037,3.0,5.0,5.0,3.0,3.0,3.0,30,93.1,129.1,Dutch,0.0,1
conv_038,3.5,4.0,3.5,3.0,3.5,3.0,30,106.6,121.9,Spanish,0.0,1
conv_039,2.5,4.0,4.0,3.5,3.0,3.0,30,119.06666666666666,121.16666666666667,French,0.0,1
conv_040,4.5,7.5,7.5,6.5,6.5,5.0,30,99.63333333333334,183.76666666666668,English,0.0,1
conv_041,2.5,6.0,4.5,4.0,3.5,3.0,30,104.8,152.66666666666666,Portuguese,0.0,1
conv_042,5.0,6.5,6.5,5.0,5.0,5.0,30,95.26666666666667,184.16666666666666,English,0.0,1
conv_043,4.0,7.5,7.5,6.5,5.0,4.0,30,112.16666666666667,160.86666666666667,French,0.0,1
conv_044,3.0,4.0,4.5,3.0,3.0,3.0,30,89.46666666666667,121.3,Dutch,0.0,1
conv_045,5.0,7.5,6.5,6.5,6.5,6.5,30,103.0,200.13333333333333,English,0.0,1
conv_046,3.0,4.0,4.0,4.0,4.5,3.0,30,106.03333333333333,183.83333333333334,English,0.0,1
conv_047,4.0,6.0,4.0,4.5,4.5,4.0,30,99.0,167.3,English,0.0,1
conv_048,4.0,5.0,6.0,4.0,4.5,4.0,30,97.7,136.3,English,0.0,1
conv_049,5.0,8.5,8.5,7.5,6.5,6.5,30,95.83333333333333,209.4,English,0.0,1
conv_050,3.0,5.0,5.0,4.5,4.5,3.0,30,117.2,172.43333333333334,French,0.0,1
conv_051,3.0,5.0,4.5,4.5,4.5,3.0,30,111.73333333333333,146.43333333333334,Portuguese,0.0,1
conv_052,3.5,4.0,3.5,3.5,3.5,3.5,30,94.96666666666667,190.76666666666668,English,0.0,1
conv_053,3.0,4.0,4.0,3.0,3.0,3.0,30,115.46666666666667,121.96666666666667,Spanish,0.0,1
conv_054,4.5,6.5,6.0,4.5,5.0,4.0,30,104.93333333333334,152.5,Portuguese,0.0,1
conv_055,3.0,3.0,4.0,3.0,3.0,2.5,30,109.03333333333333,133.53333333333333,Spanish,0.0,1
conv_056,2.0,3.0,3.5,3.0,2.5,2.5,30,111.0,119.86666666666666,Spanish,0.0,1
conv_057,6.5,9.5,8.5,8.5,7.5,7.5,30,119.53333333333333,226.66666666666666,French,0.0,1
conv_058,3.5,4.0,3.5,4.5,3.5,3.5,30,101.76666666666667,122.7,Portuguese,0.0,1
conv_059,4.0,6.5,6.5,4.0,4.5,4.0,30,113.13333333333334,141.03333333333333,Spanish,0.0,1
conv_060,4.0,4.0,4.0,4.0,4.0,4.0,30,112.66666666666667,132.43333333333334,Spanish,0.0,1
conv_061,4.0,6.5,6.5,3.5,5.0,4.0,30,88.06666666666666,181.16666666666666,English,0.0,1
conv_062,3.5,5.0,4.0,3.5,3.0,3.5,30,110.76666666666667,137.1,Portuguese,0.0,1
conv_063,4.5,5.0,6.5,5.0,6.5,5.0,30,97.56666666666666,178.16666666666666,English,0.0,1
conv_064,2.5,5.0,5.0,3.0,3.5,3.0,30,109.3,121.1,French,0.0,1
conv_065,2.5,3.0,4.0,3.0,3.0,3.0,30,101.9,100.63333333333334,Swahili,0.0,1
conv_066,3.0,4.0,4.5,4.0,3.0,3.0,30,79.23333333333333,79.3,Arabic,0.0,1
conv_067,3.0,4.0,3.0,3.0,3.0,3.0,30,102.93333333333334,96.53333333333333,Swahili,0.0,1
conv_068,3.5,6.5,6.0,4.0,4.0,4.0,30,111.83333333333333,142.53333333333333,German,0.0,1
conv_069,2.5,3.0,3.5,3.5,3.0,2.5,30,114.5,129.03333333333333,Spanish,0.0,1
conv_070,5.0,6.5,7.5,5.0,6.5,5.0,30,104.56666666666666,185.66666666666666,English,0.0,1
conv_071,2.5,4.0,3.0,3.0,3.0,2.5,30,99.6,105.26666666666667,Swahili,0.0,1
conv_072,5.0,8.5,7.5,8.5,7.5,6.0,30,99.6,229.63333333333333,English,0.0,1
conv_073,4.0,8.5,8.5,6.5,6.5,5.0,30,126.53333333333333,183.73333333333332,French,0.0,1
conv_074,5.0,7.5,8.5,6.5,6.5,5.0,30,114.96666666666667,182.43333333333334,French,0.0,1
conv_075,2.5,2.5,3.0,2.5,2.5,2.0,30,102.8,125.93333333333334,Swahili,0.0,1
conv_076,2.5,2.5,2.5,2.5,2.5,2.5,30,107.8,103.7,Swahili,0.0,1
conv_077,3.0,6.5,6.5,4.5,4.5,4.5,30,110.0,158.7,French,0.0,1
conv_078,4.0,6.0,5.0,4.5,4.0,4.0,30,88.16666666666667,141.9,English,0.0,1
conv_079,4.0,6.0,6.5,4.5,4.0,3.0,30,108.33333333333333,169.46666666666667,English,0.0,1
conv_080,4.5,7.5,7.5,5.0,5.0,4.0,30,97.53333333333333,148.66666666666666,Portuguese,0.0,1
conv_081,3.0,7.5,6.5,4.5,4.5,4.0,30,108.46666666666667,142.23333333333332,German,0.0,1
conv_082,4.5,5.0,5.0,4.5,4.0,3.0,30,108.2,183.83333333333334,English,0.0,1
conv_083,4.0,7.5,7.5,5.0,5.0,4.0,30,113.23333333333333,132.23333333333332,Spanish,0.0,1
conv_084,3.0,3.0,2.5,3.0,3.0,3.0,30,103.9,104.23333333333333,Swahili,0.0,1
conv_085,3.0,6.0,4.0,4.0,4.0,4.0,30,109.26666666666667,120.73333333333333,Spanish,0.0,1
conv_086,3.0,4.0,5.0,4.0,3.0,3.0,30,75.3,78.43333333333334,Arabic,0.0,1
conv_087,2.5,4.0,4.0,3.0,3.0,2.0,30,95.36666666666666,112.2,Swahili,0.0,1
conv_088,3.0,6.0,5.0,4.0,4.0,3.0,30,100.56666666666666,110.7,Dutch,0.0,1
conv_089,3.0,5.0,5.0,3.5,3.0,3.0,30,106.16666666666667,137.1,German,0.0,1
conv_090,3.0,5.0,4.0,4.0,3.5,3.0,30,106.1,155.63333333333333,Portuguese,0.0,1
conv_091,3.0,6.5,7.5,5.0,4.0,4.0,30,94.93333333333334,136.5,Dutch,0.0,1
conv_092,2.5,6.5,6.0,3.5,3.0,3.0,30,103.26666666666667,153.06666666666666,German,0.0,1
conv_093,4.0,8.5,8.5,5.0,6.5,4.0,30,96.63333333333334,183.73333333333332,English,0.0,1
conv_094,2.5,5.0,5.0,4.0,4.0,3.0,30,110.2,154.33333333333334,German,0.0,1
conv_095,4.5,7.5,6.5,5.0,5.0,4.0,30,96.03333333333333,192.56666666666666,English,0.0,1
conv_096,3.0,5.0,5.0,4.0,3.0,3.0,30,100.43333333333334,107.7,Swahili,0.0,1
conv_097,3.0,3.0,4.0,3.5,3.0,3.0,30,109.33333333333333,124.56666666666666,Spanish,0.0,1
conv_098,5.0,6.5,5.0,4.5,5.0,4.0,30,97.1,194.56666666666666,English,0.0,1
conv_099,2.5,4.0,4.0,3.5,3.5,3.5,30,108.5,117.2,Spanish,0.0,1
conv_100,4.0,6.5,5.0,4.5,5.0,4.0,30,100.16666666666667,167.1,English,0.0,1
conv_101,3.0,6.0,6.0,4.0,4.0,3.0,30,96.7,134.63333333333333,Dutch,0.0,1
conv_102,4.0,4.0,4.0,4.0,4.0,3.0,30,113.83333333333333,138.66666666666666,Spanish,0.0,1
conv_103,1.0,2.0,2.0,2.5,2.0,2.5,30,108.3,102.93333333333334,Swahili,0.0,1
conv_104,3.0,4.0,4.0,4.0,3.0,3.0,30,89.23333333333333,76.73333333333333,Arabic,0.0,1
conv_105,4.0,4.0,4.0,4.0,3.0,3.0,30,106.36666666666666,128.96666666666667,Spanish,0.0,1
conv_106,2.5,2.5,2.0,3.0,2.5,2.0,30,106.83333333333333,110.53333333333333,Swahili,0.0,1
conv_107,3.5,4.5,5.0,4.0,4.0,3.0,30,113.86666666666666,125.43333333333334,German,0.0,1
conv_108,6.5,8.5,8.5,8.5,7.5,6.5,30,92.93333333333334,178.5,English,0.0,1
conv_109,3.0,5.0,4.0,4.0,4.0,3.0,30,108.93333333333334,148.8,English,0.0,1
conv_110,5.0,6.0,5.0,4.0,4.0,4.0,30,94.6,171.73333333333332,English,0.0,1
conv_111,2.5,5.0,5.0,3.0,3.0,3.0,30,113.96666666666667,150.63333333333333,French,0.0,1
conv_112,3.0,7.5,6.5,4.0,4.5,4.5,30,119.8,179.06666666666666,French,0.0,1
conv_113,3.0,5.0,5.0,4.0,3.0,3.0,30,119.66666666666667,139.83333333333334,French,0.0,1
conv_114,3.0,5.0,4.0,4.0,3.0,3.0,30,119.43333333333334,156.23333333333332,French,0.0,1
conv_115,6.5,7.5,7.5,7.5,7.5,6.5,30,107.8,161.03333333333333,Portuguese,0.0,1
conv_116,1.0,2.5,2.0,2.5,2.0,2.0,30,96.76666666666667,97.5,Swahili,0.0,1
conv_117,2.5,2.0,3.0,2.5,3.0,2.0,30,104.46666666666667,104.56666666666666,Swahili,0.0,1
conv_118,3.0,4.0,5.0,4.0,4.0,4.0,30,99.6,92.43333333333334,Swahili,0.0,1
conv_119,4.5,6.5,5.0,5.0,5.0,4.5,30,108.33333333333333,131.4,Dutch,0.0,1
conv_120,2.5,5.0,5.0,3.5,3.0,3.0,30,89.5,146.06666666666666,Dutch,0.0,1
conv_121,3.0,7.5,6.5,5.0,5.0,4.0,30,91.1,183.2,English,0.0,1
conv_122,3.0,4.0,3.0,3.0,3.0,2.5,30,115.36666666666666,139.16666666666666,Spanish,0.0,1
conv_123,2.5,4.0,3.5,3.0,3.5,3.0,30,107.5,126.6,German,0.0,1
conv_124,3.0,3.0,3.0,3.0,3.0,2.0,30,120.5,145.5,Spanish,0.0,1
conv_125,2.5,5.0,4.0,4.5,4.0,3.0,30,93.0,149.7,English,0.0,1
conv_126,4.5,4.0,4.0,4.0,4.0,4.0,30,101.96666666666667,122.36666666666666,Spanish,0.0,1
conv_127,4.5,6.5,6.5,5.0,5.5,4.0,30,103.2,188.03333333333333,English,0.0,1
conv_128,5.0,7.5,7.5,6.5,6.5,5.0,30,101.23333333333333,162.9,English,0.0,1
conv_129,3.0,5.0,5.0,3.5,4.0,3.0,30,111.6,115.63333333333334,German,0.0,1
conv_130,3.0,5.0,5.0,3.5,3.5,3.0,30,105.06666666666666,158.3,French,0.0,1
conv_131,3.0,3.0,3.0,3.5,3.0,3.0,30,107.96666666666667,123.3,Spanish,0.0,1
conv_132,3.0,6.0,5.0,4.0,4.0,3.0,30,103.53333333333333,139.56666666666666,Dutch,0.0,1
conv_133,3.0,5.0,4.0,4.0,4.0,3.0,30,95.13333333333334,134.2,Dutch,0.0,1
conv_134,3.0,5.0,4.0,4.0,4.5,4.0,30,107.4,133.5,Spanish,0.0,1
conv_135,4.5,7.5,6.5,5.0,5.0,4.0,30,97.26666666666667,193.9,English,0.0,1
conv_136,4.0,7.5,7.0,6.5,5.0,4.0,30,93.86666666666666,161.5,Dutch,0.0,1
conv_137,2.5,4.5,4.0,3.5,3.0,3.0,30,105.83333333333333,111.8,French,0.0,1
conv_138,3.0,6.5,5.0,4.5,4.0,3.0,30,124.1,118.36666666666666,French,0.0,1
conv_139,5.0,7.5,7.5,6.5,6.5,5.0,30,96.0,164.53333333333333,English,0.0,1
conv_140,3.0,6.5,6.0,4.0,4.5,3.0,30,104.5,140.56666666666666,French,0.0,1
conv_141,3.0,5.0,4.0,4.0,3.0,3.0,30,105.4,133.26666666666668,Portuguese,0.0,1
conv_142,3.5,6.5,8.5,5.5,5.5,4.5,30,115.76666666666667,164.2,French,0.0,1
conv_143,4.5,7.5,7.0,6.5,5.0,5.0,30,104.56666666666666,145.3,Portuguese,0.0,1
conv_144,4.5,5.0,6.0,4.0,4.0,4.0,30,101.66666666666667,136.53333333333333,Portuguese,0.0,1
conv_145,3.0,4.5,4.0,4.0,3.0,3.0,30,108.23333333333333,124.26666666666667,Spanish,0.0,1
conv_146,3.5,5.0,5.0,4.5,4.0,3.0,30,101.16666666666667,146.46666666666667,Portuguese,0.0,1
conv_147,3.0,3.0,4.0,3.0,3.0,2.0,30,109.43333333333334,120.56666666666666,Spanish,0.0,1
conv_148,4.0,7.5,7.5,5.0,5.0,4.0,30,89.06666666666666,190.8,English,0.0,1
conv_149,3.0,6.5,6.5,5.0,4.5,4.5,30,111.93333333333334,139.03333333333333,Spanish,0.0,1
conv_150,2.5,4.5,4.0,2.5,2.5,2.5,30,123.93333333333334,132.23333333333332,French,0.0,1
conv_151,2.5,5.0,5.0,4.0,4.0,3.0,30,121.16666666666667,125.73333333333333,German,0.0,1
conv_152,3.5,3.5,4.5,4.0,3.0,3.0,30,96.36666666666666,108.43333333333334,Swahili,0.0,1
conv_153,2.5,4.0,3.0,3.0,3.0,3.0,30,106.63333333333334,114.56666666666666,Spanish,0.0,1
conv_154,4.5,7.5,7.5,6.5,5.5,4.5,30,116.03333333333333,178.3,French,0.0,1
conv_155,2.0,4.5,4.0,3.5,3.0,2.5,30,115.5,122.33333333333333,French,0.0,1
conv_156,3.0,5.0,5.0,4.0,4.0,3.0,30,102.76666666666667,124.3,Dutch,0.0,1
conv_157,3.5,5.0,4.5,4.0,3.0,3.0,30,123.6,139.23333333333332,French,0.0,1
conv_158,2.5,3.0,3.5,3.0,3.0,2.0,30,128.53333333333333,115.9,French,0.0,1
conv_159,3.0,3.0,3.5,3.0,3.0,3.0,30,102.56666666666666,121.06666666666666,Spanish,0.0,1
conv_160,3.0,6.5,6.5,4.5,4.5,4.0,30,108.4,123.73333333333333,Dutch,0.0,1
conv_161,2.5,6.5,4.5,4.5,3.5,3.5,30,106.13333333333334,125.76666666666667,German,0.0,1
conv_162,4.0,6.0,5.0,4.5,4.5,4.0,30,100.03333333333333,178.16666666666666,English,0.0,1
conv_163,3.0,6.5,6.5,4.5,4.5,3.0,30,106.2,129.63333333333333,French,0.0,1
conv_164,2.5,4.0,4.0,3.0,3.0,3.5,30,113.66666666666667,129.96666666666667,Spanish,0.0,1
conv_165,3.0,5.0,4.5,4.5,4.0,3.0,30,110.73333333333333,162.73333333333332,German,0.0,1
conv_166,3.0,5.0,3.0,3.0,3.0,3.0,30,101.03333333333333,151.56666666666666,English,0.0,1
conv_167,2.0,2.0,3.0,2.0,2.0,2.0,30,104.3,106.66666666666667,Swahili,0.0,1
conv_168,2.5,4.5,4.0,3.5,3.5,2.5,30,107.6,172.43333333333334,German,0.0,1
conv_169,3.0,6.5,4.0,4.0,4.5,3.5,30,95.33333333333333,156.56666666666666,Portuguese,0.0,1
conv_170,2.5,3.0,2.0,3.5,3.0,2.0,30,98.6,112.5,Swahili,0.0,1
conv_171,3.0,5.0,5.0,4.0,4.0,3.0,30,89.86666666666666,112.63333333333334,Dutch,0.0,1
conv_172,3.0,4.0,2.5,3.5,3.0,3.0,30,110.4,120.8,Spanish,0.0,1
conv_173,2.5,4.0,2.5,3.0,3.5,3.0,30,112.56666666666666,120.66666666666667,Spanish,0.0,1
conv_174,3.0,5.0,5.0,4.5,4.0,3.0,30,106.43333333333334,144.26666666666668,French,0.0,1
conv_175,3.0,5.0,5.0,3.5,3.0,3.0,30,103.53333333333333,117.4,French,0.0,1
conv_176,2.5,7.5,7.5,6.5,4.5,4.0,30,106.0,156.93333333333334,Portuguese,0.0,1
conv_177,4.5,5.0,4.0,4.5,4.0,3.0,30,110.06666666666666,121.23333333333333,Spanish,0.0,1
conv_178,2.5,3.5,3.5,3.0,3.0,2.5,30,115.33333333333333,133.0,Spanish,0.0,1
conv_179,2.5,4.0,4.0,3.0,3.0,2.5,30,93.16666666666667,159.9,English,0.0,1
conv_180,4.0,4.0,4.0,3.5,4.0,3.0,30,109.03333333333333,122.36666666666666,Spanish,0.0,1
conv_181,2.5,4.0,3.5,3.5,3.5,2.5,30,96.33333333333333,184.26666666666668,English,0.0,1
conv_182,4.0,5.0,5.0,4.5,4.5,4.0,30,93.16666666666667,167.9,English,0.0,1
conv_183,2.5,4.0,4.0,3.0,3.0,2.5,30,79.0,73.66666666666667,Arabic,0.0,1
conv_184,4.0,5.0,4.0,4.5,4.0,3.0,30,123.0,130.43333333333334,German,0.0,1
conv_185,3.0,6.0,6.0,4.0,4.0,3.0,30,108.46666666666667,154.6,Dutch,0.0,1
conv_186,4.0,7.5,7.5,6.5,6.5,4.0,30,98.63333333333334,144.63333333333333,English,0.0,1
conv_187,2.5,4.5,4.0,3.0,3.0,2.5,30,109.73333333333333,148.76666666666668,French,0.0,1
conv_188,2.5,5.0,4.5,3.0,3.5,3.0,30,116.93333333333334,127.66666666666667,French,0.0,1
conv_189,4.0,6.5,6.5,4.5,5.0,4.0,30,107.13333333333334,130.1,Spanish,0.0,1
conv_190,4.0,8.5,8.5,6.5,7.5,4.0,30,102.03333333333333,166.43333333333334,Dutch,0.0,1
conv_191,3.0,5.0,3.0,3.0,3.0,3.0,30,107.13333333333334,117.5,Spanish,0.0,1
conv_192,4.0,6.5,6.5,6.5,5.5,4.0,30,101.53333333333333,203.0,English,0.0,1
conv_193,3.0,5.0,4.0,3.0,3.0,3.0,30,97.6,113.16666666666667,Dutch,0.0,1
conv_194,3.0,5.0,4.0,3.0,4.5,3.0,30,103.8,164.9,English,0.0,1
conv_195,3.0,4.0,4.0,3.0,3.0,3.0,30,110.23333333333333,126.13333333333334,Spanish,0.0,1
conv_196,4.0,5.0,5.0,4.0,4.0,3.0,30,108.4,129.83333333333334,Spanish,0.0,1
conv_197,2.5,5.0,6.0,3.0,3.0,3.0,30,103.6,150.26666666666668,Dutch,0.0,1
conv_198,4.5,6.5,5.0,4.5,5.0,4.0,30,97.1,164.33333333333334,English,0.0,1
conv_199,2.5,4.5,4.0,3.5,3.0,3.0,30,122.16666666666667,142.63333333333333,French,0.0,1
conv_200,2.5,2.5,2.0,2.5,2.5,2.5,30,99.96666666666667,104.1,Swahili,0.0,1
conv_201,3.0,4.0,4.0,4.5,4.0,3.0,30,109.03333333333333,109.13333333333334,Swahili,0.0,1
conv_202,4.5,6.5,5.0,5.0,5.0,4.5,30,97.86666666666666,141.23333333333332,Portuguese,0.0,1
conv_203,4.5,4.5,4.0,4.5,4.5,4.5,30,115.83333333333333,140.8,Spanish,0.0,1
conv_204,4.5,6.5,6.5,5.0,4.5,4.5,30,110.26666666666667,166.1,French,0.0,1
conv_205,2.5,6.5,5.0,4.5,4.5,3.5,30,108.03333333333333,160.86666666666667,German,0.0,1
conv_206,3.0,6.0,6.0,3.5,4.0,3.0,30,93.16666666666667,171.26666666666668,English,0.0,1
conv_207,2.5,3.0,3.5,3.5,3.5,2.5,30,105.46666666666667,133.63333333333333,Spanish,0.0,1
conv_208,5.0,8.5,8.5,6.5,7.5,6.5,30,95.0,184.13333333333333,English,0.0,1
conv_209,4.0,7.5,7.0,5.0,4.5,4.0,30,98.4,126.3,Dutch,0.0,1
conv_210,4.0,6.5,6.5,5.0,5.0,5.0,30,94.3,154.33333333333334,English,0.0,1
conv_211,2.5,7.5,7.5,6.5,5.0,4.0,30,101.46666666666667,196.13333333333333,English,0.0,1
conv_212,4.0,7.5,7.5,6.5,5.5,4.5,30,99.73333333333333,153.76666666666668,Portuguese,0.0,1
conv_213,3.0,4.0,4.0,3.0,3.0,3.0,30,101.56666666666666,104.16666666666667,Swahili,0.0,1
conv_214,3.0,3.0,4.0,2.5,3.0,2.5,30,110.23333333333333,130.26666666666668,Spanish,0.0,1
conv_215,4.0,6.5,5.0,5.0,5.0,4.5,30,99.26666666666667,178.83333333333334,English,0.0,1
conv_216,2.5,4.0,4.0,3.5,2.5,2.5,30,100.83333333333333,167.13333333333333,English,0.0,1
conv_217,3.0,7.5,6.5,5.0,4.0,4.0,30,95.03333333333333,155.56666666666666,English,0.0,1
conv_218,4.0,6.5,5.0,4.5,4.5,3.0,30,106.6,133.7,Spanish,0.0,1
conv_219,3.0,6.5,6.0,4.0,4.0,3.0,30,112.96666666666667,129.5,German,0.0,1
conv_220,3.0,4.0,4.0,3.5,3.0,3.0,30,108.73333333333333,142.63333333333333,Spanish,0.0,1
conv_221,2.5,2.5,3.0,3.5,3.0,2.5,30,93.3,136.36666666666667,English,0.0,1
conv_222,1.0,4.5,4.0,3.0,3.0,2.5,30,114.73333333333333,129.83333333333334,French,0.0,1
conv_223,4.0,4.0,4.0,3.0,3.0,3.0,30,115.76666666666667,131.93333333333334,Spanish,0.0,1
conv_224,3.0,3.0,3.5,3.5,3.0,2.5,30,111.4,133.8,Spanish,0.0,1
conv_225,4.0,5.0,4.0,4.0,4.0,3.0,30,107.56666666666666,181.53333333333333,English,0.0,1
conv_226,5.0,7.5,8.5,6.5,6.5,6.5,30,101.86666666666666,165.96666666666667,English,0.0,1
conv_227,2.5,3.0,2.5,2.5,2.5,1.0,30,110.5,112.86666666666666,French,0.0,1
conv_228,4.0,6.5,6.5,5.0,4.5,4.5,30,114.83333333333333,151.03333333333333,French,0.0,1
